accelerometerX,accelerometerY,accelerometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,deviceID
1881,-773,215,27,-12,15,10003
1886,-767,214,36,-5,23,10003
1876,-768,209,35,-4,18,10003
1879,-767,209,38,-3,23,10003
1878,-765,221,17,-12,26,10003
1869,-762,209,25,5,22,10003
1883,-753,220,12,-6,27,10003
1878,-766,205,20,-5,25,10003
1879,-758,214,14,-7,22,10003
1882,-761,209,23,2,30,10003
1884,-759,203,18,-5,16,10003
1885,-757,221,8,-6,14,10003
1884,-753,206,12,-16,16,10003
1886,-763,215,8,-3,12,10003
1876,-764,216,10,-7,16,10003
1878,-762,219,-3,-10,14,10003
1887,-758,204,8,4,11,10003
1882,-756,205,2,-7,16,10003
1873,-770,219,2,-4,19,10003
1871,-770,215,7,-11,31,10003
1877,-762,221,11,-7,24,10003
1881,-758,210,7,-12,34,10003
1880,-762,216,6,0,33,10003
1883,-764,217,6,-13,31,10003
1878,-766,215,5,-8,20,10003
1877,-763,212,10,-7,28,10003
1872,-760,219,17,-12,35,10003
1873,-763,204,12,-15,26,10003
1876,-762,220,5,-18,31,10003
1872,-763,210,16,-6,30,10003
1885,-763,203,7,-10,30,10003
1880,-759,222,7,-6,30,10003
1886,-764,215,4,-12,26,10003
1890,-766,217,5,-2,21,10003
1890,-768,211,7,-14,21,10003
1888,-762,205,13,-22,25,10003
1884,-760,221,28,-16,5,10003
1884,-768,206,23,-11,0,10003
1880,-772,218,23,-14,-4,10003
1878,-777,223,32,-12,2,10003
1870,-763,220,39,-23,-1,10003
1866,-766,221,42,-16,-2,10003
1865,-772,229,34,-8,-7,10003
1865,-773,223,46,-19,1,10003
1871,-776,213,52,-25,9,10003
1873,-777,218,60,-26,5,10003
1883,-775,209,61,-23,15,10003
1882,-766,205,69,-32,2,10003
1875,-766,222,65,-25,13,10003
1879,-772,215,59,-22,15,10003
1871,-765,216,66,-24,10,10003
1875,-761,221,60,-32,8,10003
1883,-763,218,59,-33,8,10003
1885,-767,223,70,-26,10,10003
1882,-757,225,64,-30,12,10003
1879,-762,217,63,-33,9,10003
1874,-762,222,71,-35,4,10003
1876,-753,222,74,-37,7,10003
1882,-757,214,71,-34,5,10003
1876,-754,205,80,-36,1,10003
1885,-755,213,61,-29,-1,10003
1876,-758,214,58,-27,-15,10003
1867,-759,217,63,-22,-14,10003
1877,-759,216,49,-30,0,10003
1873,-756,217,46,-20,-17,10003
1874,-749,207,35,-27,-11,10003
1879,-759,195,39,-25,-2,10003
1879,-767,215,25,-29,-1,10003
1880,-758,217,39,-29,0,10003
1876,-755,217,27,-33,5,10003
1879,-761,204,23,-26,3,10003
1889,-762,216,21,-30,0,10003
1883,-762,206,31,-19,3,10003
1883,-758,213,29,-26,8,10003
1886,-757,219,17,-24,0,10003
1883,-765,215,19,-24,-8,10003
1885,-760,231,19,-12,-8,10003
1892,-763,226,21,-15,-3,10003
1900,-760,219,10,-18,-3,10003
1887,-760,215,26,0,-9,10003
1890,-751,220,16,-20,-12,10003
1889,-758,216,23,-14,-10,10003
1886,-750,216,6,-6,-10,10003
1884,-749,217,7,-7,-2,10003
1882,-751,219,3,-10,-5,10003
1894,-754,217,7,-5,-3,10003
1880,-756,230,10,-17,-4,10003
1886,-750,220,4,-10,-6,10003
1876,-758,221,6,-11,7,10003
1881,-760,231,6,-4,4,10003
1882,-757,210,2,-5,-4,10003
1877,-757,201,-3,-6,9,10003
1872,-756,216,13,-13,17,10003
1871,-754,209,24,-12,9,10003
1878,-751,216,16,-13,15,10003
1869,-732,213,8,-13,18,10003
1868,-755,208,-5,-14,8,10003
1873,-750,220,-13,-9,15,10003
1878,-749,211,-10,-17,-5,10003
1883,-747,207,-22,-25,-4,10003
1889,-751,201,-25,-15,3,10003
1889,-767,215,-39,-8,-9,10003
1889,-759,211,-35,-23,0,10003
1898,-764,206,-20,-18,-7,10003
1891,-767,212,-18,-21,-6,10003
1882,-768,220,2,-20,10,10003
1877,-760,216,11,-12,-2,10003
1880,-761,230,14,-20,-1,10003
1873,-765,232,19,-18,18,10003
1877,-752,225,17,-25,10,10003
1883,-754,233,19,-15,19,10003
1869,-749,216,19,-21,6,10003
1875,-741,219,11,-8,10,10003
1882,-744,215,12,-15,10,10003
1878,-750,225,9,-10,9,10003
1877,-754,213,12,-20,14,10003
1883,-753,214,5,-22,7,10003
1888,-754,215,16,-19,7,10003
1884,-756,204,7,-21,23,10003
1894,-750,208,13,-26,17,10003
1889,-748,215,10,-18,22,10003
1881,-752,228,7,-26,23,10003
1883,-747,209,0,-10,19,10003
1878,-744,204,-17,-12,21,10003
1880,-740,210,-19,-9,20,10003
1881,-736,219,-22,-11,17,10003
1888,-734,212,-29,-16,20,10003
1887,-736,215,-28,-19,18,10003
1894,-729,218,-42,-13,5,10003
1889,-750,212,-51,-4,21,10003
1884,-750,231,-54,-16,7,10003
1884,-747,224,-48,-11,6,10003
1886,-744,216,-56,-10,17,10003
1885,-747,209,-46,-13,16,10003
1891,-749,207,-60,-7,22,10003
1887,-752,213,-56,-5,15,10003
1897,-756,209,-62,-5,7,10003
1887,-748,206,-63,2,14,10003
1884,-746,222,-68,-7,15,10003
1889,-749,226,-64,7,11,10003
1877,-752,211,-68,-2,18,10003
1877,-755,225,-63,-2,15,10003
1881,-762,207,-64,0,23,10003
1886,-752,200,-70,10,14,10003
1873,-754,203,-66,-7,19,10003
1885,-753,211,-64,8,13,10003
1881,-758,217,-55,1,24,10003
